N,P,K,temperature,humidity,ph,rainfall,label
111.62,22.72,59.89,29.464655,93.925074,6.375088,25.392108,muskmelon
103.14,22.48,46.08,24.046485,92.541881,6.200232,52.605093,watermelon
45.75,58.95,54.03,35.420852,94.477678,7.881026,150.545164,papaya
42.26,66.36,59.31,34.773256,93.79321,6.573171,171.41775,papaya
19.9,123.88,220.21,13.665857,93.629281,6.183571,116.586579,apple
2.09,17.78,26.76,36.526223,55.260773,5.569015,88.019308,mango
3.7,111.94,196.6,10.793018,91.750062,6.897175,124.829231,apple
34.7,70.33,29.88,32.297972,60.634867,6.413282,61.907973,mothbeans
28.96,30.98,25.56,34.901456,84.911504,6.411358,54.405796,mungbean
35.83,56.24,29.28,21.901937,70.020526,7.414061,41.422589,lentil
13.03,70.64,15.61,31.818167,63.018067,6.576312,65.861559,blackgram
19.28,8.78,35.21,27.483161,95.162285,7.330178,151.777632,coconut
14.48,38.87,35.22,30.087358,87.330179,5.536014,175.855419,pomegranate
72.83,58.06,41.67,24.922611,88.943363,7.453352,171.959914,jute
6.9,17.86,27.33,34.306887,90.766765,5.625131,143.878278,coconut
4.59,23.58,38.82,22.653767,95.387407,6.376357,169.033126,pomegranate
7.78,105.57,217.48,9.261967,92.638172,6.878182,119.790181,apple
84.78,43.66,22.79,25.542715,71.396177,6.289091,109.833861,maize
69.5,78.01,59.86,35.926722,93.052373,6.836683,173.757671,papaya
114.77,34.2,55.16,29.23015,94.922464,6.132107,20.265699,muskmelon
106.71,28.82,42.11,27.672106,67.690783,6.055556,195.198379,coffee
75.75,52.42,49.78,33.486044,96.992783,8.328779,160.467963,papaya
17.22,5.39,18.48,17.918587,90.530762,7.085417,123.12825,orange
70.25,55.13,59.15,34.86974,93.422833,6.855966,166.382474,papaya
38.89,86.12,96.88,19.657304,15.860482,5.923544,63.600056,chickpea
75.27,48.11,52.95,27.800667,90.129381,6.968569,187.191607,jute
22.7,37.42,25.18,25.711688,93.710735,7.02679,35.451887,mungbean
2.53,15.19,9.6,10.917268,94.230124,6.75255,102.31299,orange
20.94,95.82,28.17,33.125078,55.317978,5.503421,150.59755,pigeonpeas
65.76,30.42,36.89,20.922756,86.776587,5.682749,225.94949,rice
4.09,24.99,43.04,23.265611,92.947817,5.677734,169.309778,pomegranate
19.93,77.03,24.34,29.657513,58.37711,5.263765,67.135191,mothbeans
79.39,41.71,54.45,23.374099,77.073544,6.415401,188.872162,jute
5.84,70.39,16.7,20.884339,64.673986,6.952246,43.012481,lentil
88.57,38.78,43.41,27.490301,89.76631,7.394189,194.091667,jute
22.03,58.7,29.57,31.216684,70.06382,6.682189,71.514456,blackgram
79.31,36.66,59.8,23.56829,79.33908,6.689948,159.759203,jute
1.84,64.09,88.46,17.147502,18.830964,6.788019,84.416164,chickpea
13.84,68.71,66.79,23.372574,16.867742,5.807063,69.85409,chickpea
30.68,90.32,19.63,26.36318,17.849074,6.991404,146.205443,kidneybeans
65.84,53.37,60.25,38.259497,94.57468,6.860455,155.312153,papaya
37.54,41.01,29.28,33.993687,53.520306,6.503394,99.026084,mango
25.53,60.35,20.94,25.400313,73.769138,6.610329,73.125741,blackgram
78.59,51.04,13.29,20.083793,70.029816,5.678366,64.299118,maize
4.45,35.3,16.16,33.746354,93.329381,6.069842,52.802153,mungbean
78.04,57.04,16.93,24.587534,66.08798,5.981073,77.28654,maize
24.92,73.9,20.76,34.312433,47.984555,6.994138,137.912506,pigeonpeas
4.73,27.32,34.06,32.077397,95.790149,5.83306,129.527794,coconut
80.13,19.42,51.75,31.136249,95.498888,6.047368,23.889487,muskmelon
66.51,63.19,22.83,20.542635,73.375874,6.181686,90.171223,maize
35.21,79.23,21.65,28.445049,71.299644,6.814311,70.292186,blackgram
91.09,37.13,36.94,27.096093,67.47028,6.085795,189.486229,coffee
6.06,114.37,196.13,11.208101,93.522056,6.67584,66.889554,grapes
2.35,59.66,27.6,34.203624,83.221222,7.40958,32.0286,mungbean
117.97,31.28,43.88,26.523902,57.057748,6.741307,185.322088,coffee
14.94,97.21,22.58,20.113561,17.951751,6.007458,148.943838,kidneybeans
106.74,49.42,21.21,26.663657,83.905778,6.186041,68.622555,cotton
2.74,101.36,196.14,14.065964,95.714028,6.284614,129.063418,apple
88.88,77.87,52.48,31.058489,86.729179,6.046864,127.558259,banana
3.95,53.09,22.21,29.422824,62.064522,6.006674,67.718978,blackgram
86.49,49.11,51.56,27.669816,90.310054,6.049049,56.515395,watermelon
14.34,21.58,25.71,27.655651,91.447367,6.112426,196.244297,coconut
4.01,80.54,15.97,17.548481,73.332247,7.30045,56.446896,lentil
4.05,23.66,8.0,12.630106,92.147569,7.268987,121.962517,orange
60.51,63.1,42.59,34.823599,92.805461,7.602909,172.852309,papaya
26.43,74.43,26.22,29.578974,53.288545,6.050566,131.772233,pigeonpeas
12.34,18.3,19.28,19.95378,95.861772,7.207944,110.981583,orange
99.9,51.03,47.86,22.746584,89.152988,6.245375,170.155037,rice
82.96,12.53,52.22,33.275967,95.338333,6.334708,22.751171,muskmelon
20.72,70.14,17.36,25.118091,49.95894,6.82804,179.726219,pigeonpeas
82.27,27.63,60.36,31.108939,92.670911,6.629604,20.554809,muskmelon
18.68,17.6,41.77,27.835876,94.437445,6.669765,193.933287,coconut
67.61,44.42,63.09,25.990866,85.775215,7.373564,193.709929,jute
82.15,70.05,55.57,25.736119,89.648145,5.508252,133.088978,banana
21.22,76.85,23.59,31.084167,70.224163,6.183613,86.997084,blackgram
79.91,82.76,47.49,38.9748,90.582036,8.242559,158.05975,papaya
89.21,101.22,60.43,28.82939,77.585466,5.666363,95.227759,banana
131.53,57.52,23.33,29.817968,81.29101,6.454518,71.686894,cotton
82.8,21.17,53.94,30.936883,87.691454,6.763033,45.251354,watermelon
9.18,18.34,10.0,12.517006,90.981447,7.059217,105.048481,orange
87.98,40.42,28.29,31.314894,55.403637,6.522252,157.624785,coffee
15.86,87.81,62.04,22.997646,16.833739,7.233218,89.842719,chickpea
93.68,31.67,38.42,22.33891,81.729944,5.97084,261.403885,rice
37.97,52.96,23.46,26.831263,56.921802,5.134648,51.118848,mothbeans
11.22,9.4,6.57,12.223289,92.440962,6.021081,120.773675,orange
35.82,19.82,28.44,36.010086,52.269254,5.43223,102.14627,mango
113.71,36.43,26.09,28.959722,58.47752,6.015367,182.871522,coffee
1.57,79.48,27.74,34.21823,51.076359,3.998603,59.899458,mothbeans
2.92,52.2,21.77,27.451003,74.440408,7.366479,76.18973,blackgram
8.16,14.19,38.42,24.267204,88.60886,5.930043,111.234512,pomegranate
69.65,49.67,12.33,26.743144,60.664939,6.342234,99.598721,maize
34.08,74.55,23.3,27.784409,55.307618,4.523637,63.973223,mothbeans
102.43,59.19,24.27,23.829074,80.295239,7.985703,85.578577,cotton
43.5,69.58,42.32,37.637121,95.083525,7.74066,155.689367,papaya
37.08,58.37,16.65,31.919571,57.959268,5.137655,183.442275,pigeonpeas
27.81,76.4,17.72,28.321436,57.353901,4.968805,45.244568,mothbeans
26.29,86.01,24.62,25.112188,22.622846,6.306261,136.371786,kidneybeans
89.94,40.08,37.21,28.310448,66.557743,6.383294,165.731627,coffee
20.99,68.45,17.97,33.957308,62.851437,7.326772,90.519611,blackgram
7.31,85.34,21.67,21.72619,65.405728,6.788741,36.087593,lentil
18.58,9.1,28.67,30.960277,91.889129,5.554814,127.574831,coconut
88.08,49.44,49.57,22.213499,87.874322,6.323717,214.712729,rice
15.96,5.83,7.46,13.426104,91.790593,6.57483,128.556049,orange
83.55,33.19,51.96,30.43107,91.535146,6.948582,21.188166,muskmelon
113.35,29.85,49.12,30.443792,86.817756,6.771925,51.111521,watermelon
1.31,63.97,17.89,21.407588,20.46651,6.008512,119.675433,kidneybeans
87.22,34.89,58.19,29.614678,85.756221,6.576198,52.867715,watermelon
100.35,98.08,62.74,30.769745,76.744907,5.503868,119.815292,banana
39.47,65.01,27.22,26.686449,50.672023,5.836555,132.440566,pigeonpeas
33.44,51.19,22.79,25.292277,61.15376,4.112517,43.070868,mothbeans
109.73,106.06,56.97,30.285744,88.352438,6.181693,138.694242,banana
81.74,58.33,60.13,24.325641,87.321963,6.835666,161.365863,jute
119.32,50.2,16.21,27.270246,80.553227,7.863859,72.369504,cotton
10.37,33.91,50.96,31.289203,89.305236,7.227719,174.204975,pomegranate
0.03,81.93,20.31,26.237873,48.722775,5.663499,107.023337,pigeonpeas
0.87,70.61,73.79,20.370241,15.103161,7.065641,97.69617,chickpea
65.53,67.56,10.14,19.88322,55.62567,5.665944,91.007464,maize
10.02,29.91,36.33,29.114958,96.508547,5.667493,134.360059,coconut
15.73,14.45,34.48,31.529497,86.644552,6.43889,173.164809,pomegranate
80.33,42.12,44.23,20.834523,81.340946,5.917113,195.705691,rice
31.82,81.53,26.61,28.927101,45.657353,5.232199,103.87226,pigeonpeas
11.39,128.74,218.93,18.147105,91.228711,5.921467,79.535235,grapes
33.23,54.77,29.7,27.255235,66.325328,6.837846,64.811429,blackgram
9.46,11.11,31.99,25.0626,92.457619,5.357514,130.270758,coconut
33.96,68.9,80.39,19.497714,24.664044,6.966249,74.759542,chickpea
7.04,55.78,17.18,30.70193,66.655044,6.374336,77.176935,blackgram
13.14,25.96,42.43,26.600594,95.201287,5.404123,149.897201,coconut
95.84,43.01,13.97,26.464785,58.589841,6.120352,82.492965,maize
101.28,72.19,47.25,25.071711,88.263151,6.506921,107.899786,banana
16.63,63.56,15.93,33.0434,50.466329,6.315911,56.031353,mothbeans
97.97,92.83,60.96,34.317145,81.261237,6.576899,101.807951,banana
34.56,86.17,22.8,21.314091,17.453418,5.714511,111.581511,kidneybeans
8.06,17.49,40.92,34.406573,90.601302,6.438979,174.627381,pomegranate
29.79,82.82,89.97,19.302839,15.296283,5.976677,80.114997,chickpea
8.13,29.19,41.9,26.49668,94.296273,7.375593,181.440827,coconut
11.55,11.49,18.13,10.108161,91.59208,6.605599,117.584715,orange
4.17,73.67,16.86,29.104415,56.138674,6.861422,103.622233,pigeonpeas
106.39,105.16,54.54,30.313215,81.786711,5.608887,137.224208,banana
116.56,81.73,47.41,29.399976,79.436473,6.8258,92.198097,banana
2.94,136.81,199.15,14.934397,93.942849,5.848949,114.880143,apple
10.51,99.3,18.13,19.78306,22.162766,6.246997,134.826298,kidneybeans
118.22,17.98,48.7,36.903347,96.242019,6.499019,21.257864,muskmelon
5.1,34.98,23.53,27.342956,90.762565,7.424453,52.981002,mungbean
